ELEMENT_ID,TYPE,NODE_I,NODE_J,LENGTH_MM,B_MM,H_MM,E_KPA,G_KPA,STIFF_MOD
col_C1,column,N1,N2,4000.0,300,400,21538105,8974210,0.70
col_C2,column,N3,N4,4000.0,300,400,21538105,8974210,0.70
col_C3,column,N5,N6,4000.0,300,400,21538105,8974210,0.70
col_C4,column,N7,N8,4000.0,300,400,21538105,8974210,0.70
col_C5,column,N9,N10,4000.0,300,400,21538105,8974210,0.70
col_C6,column,N11,N12,4000.0,300,400,21538105,8974210,0.70
col_C7,column,N13,N14,4000.0,300,400,21538105,8974210,0.70
col_C8,column,N15,N16,4000.0,300,400,21538105,8974210,0.70
col_C9,column,N17,N18,4000.0,300,400,21538105,8974210,0.70
col_C10,column,N19,N20,4000.0,300,400,21538105,8974210,0.70
col_C11,column,N21,N22,4000.0,300,400,21538105,8974210,0.70
col_C12,column,N23,N24,4000.0,300,400,21538105,8974210,0.70
beam_B1,beam,N2,N4,5000.0,200,400,21538105,8974210,0.35
beam_B2,beam,N4,N6,5000.0,200,400,21538105,8974210,0.35
beam_B3,beam,N8,N10,5000.0,200,400,21538105,8974210,0.35
beam_B4,beam,N10,N12,5000.0,200,400,21538105,8974210,0.35
beam_B5,beam,N14,N16,5000.0,200,400,21538105,8974210,0.35
beam_B6,beam,N16,N18,5000.0,200,400,21538105,8974210,0.35
beam_B7,beam,N20,N22,5000.0,200,400,21538105,8974210,0.35
beam_B8,beam,N22,N24,5000.0,200,400,21538105,8974210,0.35
beam_B9,beam,N2,N8,4000.0,200,400,21538105,8974210,0.35
beam_B10,beam,N4,N10,4000.0,200,400,21538105,8974210,0.35
beam_B11,beam,N6,N12,4000.0,200,400,21538105,8974210,0.35
beam_B12,beam,N8,N14,4000.0,200,400,21538105,8974210,0.35
beam_B13,beam,N10,N16,4000.0,200,400,21538105,8974210,0.35
beam_B14,beam,N12,N18,4000.0,200,400,21538105,8974210,0.35
beam_B15,beam,N14,N20,5000.0,200,400,21538105,8974210,0.35
beam_B16,beam,N16,N22,5000.0,200,400,21538105,8974210,0.35
beam_B17,beam,N18,N24,5000.0,200,400,21538105,8974210,0.35
